VOLTAJE,CORRIENTE,POTENCIA ACTIVA,FACTOR DE POTENCIA,POTENCIA APARENTE
116.296204,13.526411,1527.617676,0.971106,1573.070313
115.986549,13.527732,1522.944092,0.970625,1569.034912
116.736504,9.952355,1104.819946,0.950953,1161.803223
116.559303,9.850849,1092.717163,0.951672,1148.20813
116.442757,9.865315,1092.735718,0.951243,1148.744507
116.580452,9.851984,1093.569702,0.952132,1148.548706
116.483017,9.844116,1090.410034,0.950934,1146.672363
116.518219,9.90938,1098.546997,0.951433,1154.623291
116.713249,9.995051,1110.594482,0.952029,1166.554932
116.438377,9.948291,1102.204224,0.951519,1158.362793
116.6362,9.925761,1101.324097,0.951301,1157.703125
116.393837,9.911586,1097.089111,0.950974,1153.647461
116.152412,9.917572,1095.745361,0.951209,1151.949951
116.455383,9.903063,1097.649536,0.951776,1153.265015
115.945786,12.182842,1292.157715,0.91477,1412.549194
114.981659,19.676371,2178.875,0.963072,2262.421631
114.412743,23.559273,2632.822266,0.976754,2695.480957
114.511154,23.703804,2654.804688,0.978063,2714.349854
115.785645,15.545688,1765.106567,0.980633,1799.967407
115.774078,15.396981,1743.284546,0.977961,1782.571289
115.620499,15.39331,1740.592163,0.97798,1779.782104
115.805817,15.359405,1739.447144,0.977927,1778.708374
115.643021,15.374709,1737.993652,0.977511,1777.977783
115.854935,15.424199,1747.275024,0.977787,1786.969604
115.809532,15.467788,1752.132324,0.978125,1791.317261
115.947075,15.536338,1763.075317,0.978729,1801.392944
115.717049,15.538978,1759.194824,0.97835,1798.124634
115.844978,15.491112,1756.244263,0.978645,1794.567505
115.967812,15.511411,1759.078125,0.977904,1798.824341
115.987495,15.547799,1763.458496,0.977879,1803.35022
115.572296,15.435287,1742.533813,0.976816,1783.891479
115.91404,15.543981,1761.714233,0.977771,1801.765625
115.854874,15.431266,1747.73645,0.977597,1787.787354
115.948021,15.551981,1764.05835,0.978282,1803.221436
115.741104,15.548374,1759.493774,0.977721,1799.585938
116.060081,15.532575,1763.56604,0.978285,1802.711914
115.975517,15.53796,1762.230347,0.977918,1802.022949
115.961647,15.503408,1757.907227,0.97781,1797.800781
116.090187,15.600577,1771.377808,0.978081,1811.073975
115.888794,15.515803,1758.078491,0.977738,1798.107788
115.892746,15.545954,1761.747192,0.977845,1801.663208
115.919441,15.541564,1762.020508,0.978047,1801.569458
115.69545,15.565989,1761.202393,0.977949,1800.914063
115.778709,15.533444,1759.129028,0.97814,1798.442139
116.014755,15.524159,1761.885986,0.978265,1801.031616
115.857559,15.472132,1753.954468,0.978462,1792.563477
